,Media Source,Tweets Ago,Date,Positive,Negative,Neutral,Compound,Text
0,@BBC,1,Tue Apr 10 18:42:00 +0000 2018,0.0,0.842,0.158,-0.4927,"It wasn't until Henry VIII's reign that the #TowerOfLondon became really notorious as a place of imprisonment, tort… https://t.co/Lkoj4s5XH1"
1,@BBC,2,Tue Apr 10 18:00:27 +0000 2018,0.0,0.784,0.216,-0.5106,Meet Rebekah - a former professional footballer who changed career and became a prison officer. https://t.co/D5H4aLBVln
2,@BBC,3,Tue Apr 10 16:58:05 +0000 2018,0.0,1.0,0.0,0.0,🌶🤯 A man who ate the world's hottest chilli pepper in a chilli-eating contest ended up in hospital after experienci… https://t.co/aiRSOhb4eI
3,@BBC,4,Tue Apr 10 16:34:54 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbccomedy: Henry of Eight, the Tudor Kim Kardashian. #CunkOnBritain @MissDianeMorgan https://t.co/VuQyfSFyRM"
4,@BBC,5,Tue Apr 10 16:32:08 +0000 2018,0.0,1.0,0.0,0.0,"👭 Ten celebrity pairs who look so freakily alike they could be twins. #NationalSiblingsDay
👉 https://t.co/WAUVA2c8e4 https://t.co/wTkpghO1uv"
5,@BBC,6,Tue Apr 10 16:02:03 +0000 2018,0.336,0.514,0.15,0.4227,"😱 That's quite the party trick! 
#Doodlebugs https://t.co/IUz7r0qJcf"
6,@BBC,7,Tue Apr 10 15:47:43 +0000 2018,0.208,0.726,0.066,0.6705,"RT @TWBBC: ""Our liberty is at risk when we hand over our data"" @thermoflynamics and @FinalBullet ask if we need to take control of our data…"
7,@BBC,8,Tue Apr 10 15:28:35 +0000 2018,0.237,0.763,0.0,0.7351,"RT @BBCNWT: Have you ever spotted a @RealMancsy around Manchester? 🤔

These free prints pop up around the city, thanks to the anonymous art…"
8,@BBC,9,Tue Apr 10 15:25:18 +0000 2018,0.268,0.732,0.0,0.8126,"RT @BBCR1: Do YOU look like this lady with a tablecloth on her head?

We need your help to recreate a painting from the 1800s 🎨👊

Kindly em…"
9,@BBC,10,Tue Apr 10 15:18:36 +0000 2018,0.211,0.789,0.0,0.4939,RT @BBCTwo: Two tiger brothers enjoy their first swimming lesson. 🐯💦 #NationalSiblingsDay https://t.co/qiyB4N5EYr
10,@BBC,11,Tue Apr 10 14:34:14 +0000 2018,0.204,0.796,0.0,0.6249,"RT @AboutTheBBC: Today @englishheritage unveiled a blue plaque to former BBC Director-General Sir Hugh Carleton Greene. A great moderniser,…"
11,@BBC,12,Tue Apr 10 13:00:36 +0000 2018,0.226,0.774,0.0,0.5423,"🖼🎨 From Velázquez to van Gogh, explore 5 masterpieces of European painting. 
👉 https://t.co/wRpdRNUuz5 https://t.co/EVrV6Iat8H"
12,@BBC,13,Tue Apr 10 12:00:17 +0000 2018,0.0,0.625,0.375,-0.5574,🎥 The nasty side of social media. https://t.co/rKpSRqqjkd
13,@BBC,14,Tue Apr 10 11:00:18 +0000 2018,0.0,0.775,0.225,-0.6997,🐶💅 The rise of 'extreme dog pampering' puts the welfare of pets in jeopardy and 'sends out an extremely worrying me… https://t.co/WTUIFUxaat
14,@BBC,15,Tue Apr 10 10:16:15 +0000 2018,0.18,0.82,0.0,0.5093,"RT @cbbc: This is cute, you two! 😍

@nikkilillyy &amp; @jemmawilson talk cakes and being a goth 💜 https://t.co/LcF6T8F9d6"
15,@BBC,16,Tue Apr 10 10:12:47 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCBreakfast: Meet 'The Man Engine'. 
He's a tribute to our mining history. ⛏  #manengine https://t.co/sa6ykd3uUT"
16,@BBC,17,Tue Apr 10 09:44:17 +0000 2018,0.0,0.879,0.121,-0.296,"Iceland is to stop using palm oil in own-brand products by the end of 2018.
👉 https://t.co/jyQura5jVB https://t.co/K6HGJDMxrL"
17,@BBC,18,Tue Apr 10 09:34:46 +0000 2018,0.066,0.837,0.097,-0.1779,"RT @bbcwritersroom: .@BBCR1 have just launched a new #comedy podcast called Kench with Ray Moss - No Stone Unturned by @benpartridge 
We ca…"
18,@BBC,19,Tue Apr 10 09:05:51 +0000 2018,0.292,0.708,0.0,0.6369,"RT @BBC6Music: Listen back to @RobertSmith’s exclusive interview about:
🖤 40 years of @TheCure
👄 Inviting @RollingStones to play @meltdownf…"
19,@BBC,20,Tue Apr 10 09:05:17 +0000 2018,0.204,0.796,0.0,0.7096,RT @BBC6Music: Tonight from 7-9pm BST: Cillian Murphy sits in for @IggyPop. Here he is on how @tomwaits is helping to inspire his new role.…
20,@BBC,21,Tue Apr 10 08:01:08 +0000 2018,0.16,0.651,0.189,-0.128,🎮 This video game has been designed to help people deal with grief. https://t.co/tmRibTCet4
21,@BBC,22,Tue Apr 10 07:27:02 +0000 2018,0.0,1.0,0.0,0.0,"🐸 Nine new species have been found where few scientists have gone before.
👉 https://t.co/EfvR9rqTNt https://t.co/qhInJevOTU"
22,@BBC,23,Tue Apr 10 07:01:02 +0000 2018,0.173,0.827,0.0,0.2716,🏊 Women's only swimming sessions are more important than you think. https://t.co/yPZyqsIktB
23,@BBC,24,Mon Apr 09 19:01:07 +0000 2018,0.0,0.83,0.17,-0.5994,"In this five-part immersive living history series, the training programme of one of World War Two's most covert org… https://t.co/WMq4ME93CR"
24,@BBC,25,Mon Apr 09 18:04:06 +0000 2018,0.0,0.936,0.064,-0.0772,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL"
25,@BBC,26,Mon Apr 09 17:02:07 +0000 2018,0.273,0.727,0.0,0.7184,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3"
26,@BBC,27,Mon Apr 09 16:43:45 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM"
27,@BBC,28,Mon Apr 09 16:34:07 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…
28,@BBC,29,Mon Apr 09 16:26:04 +0000 2018,0.0,1.0,0.0,0.0,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R"
29,@BBC,30,Mon Apr 09 16:04:04 +0000 2018,0.506,0.494,0.0,0.6239,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU
30,@BBC,31,Mon Apr 09 15:42:30 +0000 2018,0.144,0.856,0.0,0.4003,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…
31,@BBC,32,Mon Apr 09 15:29:26 +0000 2018,0.189,0.811,0.0,0.5411,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn"
32,@BBC,33,Mon Apr 09 15:07:08 +0000 2018,0.207,0.793,0.0,0.5267,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv"
33,@BBC,34,Mon Apr 09 14:02:03 +0000 2018,0.145,0.855,0.0,0.5267,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL"
34,@BBC,35,Mon Apr 09 13:01:05 +0000 2018,0.293,0.707,0.0,0.4404,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p"
35,@BBC,36,Mon Apr 09 12:31:27 +0000 2018,0.0,1.0,0.0,0.0,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe
